formula,original_formula,thermal_expansion,li ion conductivity
Li0.1053Al0.0439As0.0088Ti0.0526P0.1579O0.6316,Li2.0Al0.8333As0.1667Ti1.0P3O12,9.533785,3.5297080954227216
Li0.1053Al0.0526As0.0000Ti0.0526P0.1579O0.6316,Li2.0Al1.0As0.0Ti1.0P3O12,9.533785,
Li0.1130Al0.0000As0.0609Ti0.0435P0.1565O0.6261,Li2.1667Al0.0As1.1667Ti0.8333P3O12,8.129335,
Li0.1130Al0.0087As0.0522Ti0.0435P0.1565O0.6261,Li2.1667Al0.1667As1.0Ti0.8333P3O12,8.129335,0.02489012559190136
Li0.1130Al0.0261As0.0348Ti0.0435P0.1565O0.6261,Li2.1667Al0.5As0.6667Ti0.8333P3O12,9.533785,0.0007296063548011766
Li0.1130Al0.0348As0.0261Ti0.0435P0.1565O0.6261,Li2.1667Al0.6667As0.5Ti0.8333P3O12,9.533785,0.0011769056641391961
Li0.1130Al0.0522As0.0087Ti0.0435P0.1565O0.6261,Li2.1667Al1.0As0.1667Ti0.8333P3O12,9.533785,0.07001314038011469
Li0.1130Al0.0609As0.0000Ti0.0435P0.1565O0.6261,Li2.1667Al1.1667As0.0Ti0.8333P3O12,9.286814,
Li0.1207Al0.0000As0.0690Ti0.0345P0.1552O0.6207,Li2.3333Al0.0As1.3333Ti0.6667P3O12,8.129335,
Li0.1207Al0.0172As0.0517Ti0.0345P0.1552O0.6207,Li2.3333Al0.3333As1.0Ti0.6667P3O12,8.129335,0.07246891647884691
Li0.1207Al0.0259As0.0431Ti0.0345P0.1552O0.6207,Li2.3333Al0.5As0.8333Ti0.6667P3O12,9.533785,0.00045837762704928987
Li0.1207Al0.0431As0.0259Ti0.0345P0.1552O0.6207,Li2.3333Al0.8333As0.5Ti0.6667P3O12,9.533785,0.0010392494850868423
Li0.1207Al0.0517As0.0172Ti0.0345P0.1552O0.6207,Li2.3333Al1.0As0.3333Ti0.6667P3O12,9.533785,0.05677773284455055
Li0.1207Al0.0690As0.0000Ti0.0345P0.1552O0.6207,Li2.3333Al1.3333As0.0Ti0.6667P3O12,9.286814,
Li0.1282Al0.0000As0.0769Ti0.0256P0.1538O0.6154,Li2.5Al0.0As1.5Ti0.5P3O12,8.129335,
Li0.1282Al0.0085As0.0684Ti0.0256P0.1538O0.6154,Li2.5Al0.1667As1.3333Ti0.5P3O12,8.129335,0.03906735788519093
Li0.1282Al0.0171As0.0598Ti0.0256P0.1538O0.6154,Li2.5Al0.3333As1.1667Ti0.5P3O12,8.129335,0.09584348877976709
Li0.1282Al0.0256As0.0513Ti0.0256P0.1538O0.6154,Li2.5Al0.5As1.0Ti0.5P3O12,9.533785,0.13804285506881972
Li0.1282Al0.0342As0.0427Ti0.0256P0.1538O0.6154,Li2.5Al0.6667As0.8333Ti0.5P3O12,9.533785,0.00041432490743197205
Li0.1282Al0.0427As0.0342Ti0.0256P0.1538O0.6154,Li2.5Al0.8333As0.6667Ti0.5P3O12,9.533785,0.0005845566830137066
Li0.1282Al0.0513As0.0256Ti0.0256P0.1538O0.6154,Li2.5Al1.0As0.5Ti0.5P3O12,9.533785,0.05317745613199187
Li0.1282Al0.0598As0.0171Ti0.0256P0.1538O0.6154,Li2.5Al1.1667As0.3333Ti0.5P3O12,9.286814,0.07427993995479452
Li0.1282Al0.0684As0.0085Ti0.0256P0.1538O0.6154,Li2.5Al1.3333As0.1667Ti0.5P3O12,9.286814,0.10384117196785103
Li0.1282Al0.0769As0.0000Ti0.0256P0.1538O0.6154,Li2.5Al1.5As0.0Ti0.5P3O12,9.286814,
Li0.1356Al0.0000As0.0847Ti0.0169P0.1525O0.6102,Li2.6667Al0.0As1.6667Ti0.3333P3O12,8.129335,
Li0.1356Al0.0085As0.0763Ti0.0169P0.1525O0.6102,Li2.6667Al0.1667As1.5Ti0.3333P3O12,8.129335,0.05930018250893004
Li0.1356Al0.0254As0.0593Ti0.0169P0.1525O0.6102,Li2.6667Al0.5As1.1667Ti0.3333P3O12,9.533785,0.19484587232588477
Li0.1356Al0.0339As0.0508Ti0.0169P0.1525O0.6102,Li2.6667Al0.6667As1.0Ti0.3333P3O12,9.533785,0.2229678689324518
Li0.1356Al0.0508As0.0339Ti0.0169P0.1525O0.6102,Li2.6667Al1.0As0.6667Ti0.3333P3O12,9.533785,0.06480297782208527
Li0.1356Al0.0593As0.0254Ti0.0169P0.1525O0.6102,Li2.6667Al1.1667As0.5Ti0.3333P3O12,9.286814,0.08293345950156795
