n_estimators,mse
208,22.706916512142097
209,22.703012953142817
210,22.705070171418704
211,22.706017670799966
212,22.697282572771176
213,22.703556475286923
214,22.70459323237853
215,22.704612161756856
216,22.71114473696663
217,22.70222358001763
218,22.70012465685497
219,22.70675310670269
220,22.70327093989332
221,22.70352887763822
222,22.699857329648715
223,22.695128637155065
224,22.697088750971457
225,22.695617952876024
226,22.69745782930222
227,22.70336207055217
228,22.737471604883407
229,22.731923239468912
230,22.715117498981297
231,22.716686487120384
232,22.714891374365564
233,22.706331442812786
234,22.71018085700591
235,22.708502437374534
236,22.709308190768233
237,22.704858664292306
238,22.70889329678897
239,22.705900404967995
240,22.71368918063227
241,22.720202293869637
242,22.713005373607498
243,22.712473246357106
244,22.700312020387685
245,22.697931718263277
246,22.705066486108812
247,22.707388044779158
248,22.7108944058607
249,22.707953275983673
250,22.71297176751284
251,22.713010978671477
252,22.709435598518883
253,22.7156206566188
254,22.75911854601424
255,22.750606507381107
256,22.7489868076766
257,22.74057380504562
258,22.741523873229013
259,22.743563612516702
260,22.745126401834735
261,22.74239188264914
262,22.739855202599504
263,22.743094547730735
264,22.74724148723195
265,22.74447069771462
266,22.746633825237073
267,22.742857051568944
268,22.750995268514586
269,22.746453668351432
270,22.743660989603345
271,22.739883066705065
272,22.739625162848704
273,22.74418594158763
274,22.765852015076362
275,22.77482124343835
276,22.79756392397903
277,22.787449692954965
278,22.793532274240977
279,22.779357978081663
280,22.781929213974625
281,22.791018804584933
282,22.793417461981182
283,22.794164499069797
284,22.811465629071474
285,22.812241031583312
286,22.825423376672205
287,22.8188568201994
288,22.818274567717516
289,22.8112490770236
290,22.8063037216025
291,22.806990171067916
292,22.80875249074255
293,22.809064957580198
294,22.809109989142215
295,22.80675788243408
296,22.804882377443715
297,22.80962880540409
298,22.808364424000906
299,22.807503654062206
300,22.810282357935446
