n_estimators,MAE
256,3.090404835349101
257,3.093872028324396
258,3.090606449365774
259,3.092209912424945
260,3.095232993958539
261,3.095436165895729
262,3.098181188774596
263,3.0983666352932797
264,3.1041331245793335
265,3.106138783921638
266,3.107107826357171
267,3.1100103130512844
268,3.110883715337109
269,3.111623655191916
270,3.1127894434076118
271,3.111805265737231
272,3.1144649348549023
273,3.1183837251520834
274,3.116937492366963
275,3.117303376233279
276,3.1145212156425366
277,3.1123202897172852
278,3.112890513538898
279,3.1170052723169266
280,3.1174814957232475
281,3.115517518388768
282,3.114846686746316
283,3.1177694729031495
284,3.1174387892045683
285,3.1157331390756524
286,3.1185498672302985
287,3.119162184850412
288,3.1185640807801285
289,3.11828237032242
290,3.116874138594172
291,3.120758014838191
292,3.1215577317817833
293,3.1206699071708326
294,3.1194690466303214
295,3.1215948992966913
296,3.125194404059789
297,3.1302302172379415
298,3.129453109710152
299,3.12893408827461
300,3.1286984625697327
