n_estimators,MAE
285,3.0493929252232252
286,3.050979932579952
287,3.0506603514790456
288,3.0509289213700495
289,3.049545715251341
290,3.049432846513858
291,3.049321988785259
292,3.049519727626219
293,3.0493862235879474
294,3.049713081638529
295,3.049709975286317
296,3.048981516688277
297,3.0490125422016354
298,3.0492251459227013
299,3.0487619331769245
300,3.0488670965023585
